,date,close,symbol
0,2006-12-29,2.019,AMZN
1,2007-01-03,2.002,AMZN
2,2007-01-04,2.033,AMZN
3,2007-01-05,1.9444,AMZN
4,2007-01-08,1.917,AMZN
5,2007-01-09,1.953,AMZN
6,2007-01-10,1.8644,AMZN
7,2007-01-11,1.89,AMZN
8,2007-01-12,1.95,AMZN
9,2007-01-16,1.983,AMZN
10,2007-01-17,1.938,AMZN
11,2007-01-18,1.905,AMZN
12,2007-01-19,1.902,AMZN
13,2007-01-22,1.8599,AMZN
14,2007-01-23,1.8877,AMZN
15,2007-01-24,1.922,AMZN
16,2007-01-25,1.871,AMZN
17,2007-01-26,1.8658,AMZN
18,2007-01-29,1.9266,AMZN
19,2007-01-30,1.8875,AMZN
20,2007-01-31,1.9409,AMZN
21,2007-02-01,2.006,AMZN
22,2007-02-02,1.8732,AMZN
23,2007-02-05,1.861,AMZN
24,2007-02-06,1.9151,AMZN
25,2007-02-07,1.955,AMZN
26,2007-02-08,1.97,AMZN
27,2007-02-09,1.998,AMZN
28,2007-02-12,2.0254,AMZN
29,2007-02-13,1.9727,AMZN
30,2007-02-14,2.084,AMZN
31,2007-02-15,2.1,AMZN
32,2007-02-16,2.0896,AMZN
33,2007-02-20,2.1694,AMZN
34,2007-02-21,2.136,AMZN
35,2007-02-22,2.06,AMZN
36,2007-02-23,2.138,AMZN
37,2007-02-26,2.12,AMZN
38,2007-02-27,1.9623,AMZN
39,2007-02-28,2.042,AMZN
40,2007-03-01,1.9894,AMZN
41,2007-03-02,1.9474,AMZN
42,2007-03-05,1.8898,AMZN
43,2007-03-06,1.992,AMZN
44,2007-03-07,2.005,AMZN
45,2007-03-08,1.966,AMZN
46,2007-03-09,2.003,AMZN
47,2007-03-12,1.9589,AMZN
48,2007-03-13,1.956,AMZN
49,2007-03-14,1.928,AMZN
50,2007-03-15,1.959,AMZN
51,2007-03-16,1.9714,AMZN
52,2007-03-19,1.9378,AMZN
53,2007-03-20,1.973,AMZN
54,2007-03-21,2.06,AMZN
55,2007-03-22,2.0117,AMZN
56,2007-03-23,1.995,AMZN
57,2007-03-26,1.9753,AMZN
58,2007-03-27,2.0584,AMZN
59,2007-03-28,1.992,AMZN
60,2007-03-29,1.9935,AMZN
61,2007-03-30,2.0054,AMZN
62,2007-04-02,2.093,AMZN
63,2007-04-03,2.1536,AMZN
64,2007-04-04,2.1522,AMZN
65,2007-04-05,2.1064,AMZN
66,2007-04-09,2.1672,AMZN
67,2007-04-10,2.193,AMZN
68,2007-04-11,2.114,AMZN
69,2007-04-12,2.191,AMZN
70,2007-04-13,2.2182,AMZN
71,2007-04-16,2.28,AMZN
72,2007-04-17,2.3292,AMZN
73,2007-04-18,2.3165,AMZN
74,2007-04-19,2.303,AMZN
75,2007-04-20,2.3066,AMZN
76,2007-04-23,2.294,AMZN
77,2007-04-24,2.3117,AMZN
78,2007-04-25,2.9564,AMZN
79,2007-04-26,3.2445,AMZN
80,2007-04-27,3.1472,AMZN
81,2007-04-30,3.1414,AMZN
82,2007-05-01,3.1536,AMZN
83,2007-05-02,3.078,AMZN
84,2007-05-03,3.1407,AMZN
85,2007-05-04,3.267,AMZN
86,2007-05-07,3.057,AMZN
87,2007-05-08,3.114,AMZN
88,2007-05-09,3.2951,AMZN
89,2007-05-10,3.143,AMZN
90,2007-05-11,3.089,AMZN
91,2007-05-14,3.111,AMZN
92,2007-05-15,3.063,AMZN
93,2007-05-16,3.278,AMZN
94,2007-05-17,3.2346,AMZN
95,2007-05-18,3.225,AMZN
96,2007-05-21,3.515,AMZN
97,2007-05-22,3.463,AMZN
98,2007-05-23,3.46,AMZN
99,2007-05-24,3.5245,AMZN
100,2007-05-25,3.5803,AMZN
101,2007-05-29,3.6142,AMZN
102,2007-05-30,3.581,AMZN
103,2007-05-31,3.59,AMZN
104,2007-06-01,3.488,AMZN
105,2007-06-04,3.628,AMZN
106,2007-06-05,3.7195,AMZN
107,2007-06-06,3.6618,AMZN
108,2007-06-07,3.782,AMZN
109,2007-06-08,3.827,AMZN
110,2007-06-11,3.7027,AMZN
111,2007-06-12,3.641,AMZN
112,2007-06-13,3.6774,AMZN
113,2007-06-14,3.741,AMZN
114,2007-06-15,3.64,AMZN
115,2007-06-18,3.7383,AMZN
116,2007-06-19,3.537,AMZN
117,2007-06-20,3.532,AMZN
118,2007-06-21,3.6016,AMZN
119,2007-06-22,3.452,AMZN
120,2007-06-25,3.45,AMZN
121,2007-06-26,3.489,AMZN
122,2007-06-27,3.429,AMZN
123,2007-06-28,3.448,AMZN
124,2007-06-29,3.5275,AMZN
125,2007-07-02,3.5301,AMZN
126,2007-07-03,3.5159,AMZN
127,2007-07-05,3.5835,AMZN
128,2007-07-06,3.4601,AMZN
129,2007-07-09,3.6176,AMZN
130,2007-07-10,3.587,AMZN
131,2007-07-11,3.5575,AMZN
132,2007-07-12,3.8089,AMZN
133,2007-07-13,3.756,AMZN
134,2007-07-16,3.7251,AMZN
135,2007-07-17,3.7777,AMZN
136,2007-07-18,3.673,AMZN
137,2007-07-19,3.7686,AMZN
138,2007-07-20,3.7051,AMZN
139,2007-07-23,3.614,AMZN
140,2007-07-24,3.5857,AMZN
141,2007-07-25,4.332,AMZN
142,2007-07-26,4.3774,AMZN
143,2007-07-27,4.228,AMZN
144,2007-07-30,4.278,AMZN
145,2007-07-31,3.974,AMZN
146,2007-08-01,3.9108,AMZN
147,2007-08-02,4.0503,AMZN
148,2007-08-03,3.91,AMZN
149,2007-08-06,4.05,AMZN
150,2007-08-07,4.003,AMZN
151,2007-08-08,4.034,AMZN
152,2007-08-09,3.7192,AMZN
153,2007-08-10,3.838,AMZN
154,2007-08-13,3.7865,AMZN
155,2007-08-14,3.7446,AMZN
156,2007-08-15,3.624,AMZN
157,2007-08-16,3.7224,AMZN
158,2007-08-17,3.764,AMZN
159,2007-08-20,3.759,AMZN
160,2007-08-21,3.9554,AMZN
161,2007-08-22,4.051,AMZN
162,2007-08-23,4.029,AMZN
163,2007-08-24,3.9666,AMZN
164,2007-08-27,4.0761,AMZN
165,2007-08-28,3.907,AMZN
166,2007-08-29,4.0907,AMZN
167,2007-08-30,4.068,AMZN
168,2007-08-31,4.0533,AMZN
169,2007-09-04,4.181,AMZN
170,2007-09-05,4.2934,AMZN
171,2007-09-06,4.4036,AMZN
172,2007-09-07,4.425,AMZN
173,2007-09-10,4.267,AMZN
174,2007-09-11,4.434,AMZN
175,2007-09-12,4.388,AMZN
176,2007-09-13,4.47,AMZN
177,2007-09-14,4.5735,AMZN
178,2007-09-17,4.4002,AMZN
179,2007-09-18,4.5208,AMZN
180,2007-09-19,4.48,AMZN
181,2007-09-20,4.5,AMZN
182,2007-09-21,4.705,AMZN
183,2007-09-24,4.8456,AMZN
184,2007-09-25,4.816,AMZN
185,2007-09-26,4.676,AMZN
186,2007-09-27,4.751,AMZN
187,2007-09-28,4.804,AMZN
188,2007-10-01,4.7612,AMZN
189,2007-10-02,4.664,AMZN
190,2007-10-03,4.8375,AMZN
191,2007-10-04,4.755,AMZN
192,2007-10-05,4.8856,AMZN
193,2007-10-08,4.9418,AMZN
194,2007-10-09,4.936,AMZN
195,2007-10-10,4.825,AMZN
196,2007-10-11,4.62,AMZN
197,2007-10-12,4.753,AMZN
198,2007-10-15,4.5597,AMZN
199,2007-10-16,4.6576,AMZN
200,2007-10-17,4.6675,AMZN
201,2007-10-18,4.6409,AMZN
202,2007-10-19,4.653,AMZN
203,2007-10-22,4.7726,AMZN
204,2007-10-23,5.05,AMZN
205,2007-10-24,4.6239,AMZN
206,2007-10-25,4.548,AMZN
207,2007-10-26,4.6,AMZN
208,2007-10-29,4.712,AMZN
209,2007-10-30,4.43,AMZN
210,2007-10-31,4.5355,AMZN
211,2007-11-01,4.4852,AMZN
212,2007-11-02,4.342,AMZN
213,2007-11-05,4.2769,AMZN
214,2007-11-06,4.4247,AMZN
215,2007-11-07,4.3844,AMZN
216,2007-11-08,4.33,AMZN
217,2007-11-09,3.9986,AMZN
218,2007-11-12,4.02,AMZN
219,2007-11-13,4.061,AMZN
220,2007-11-14,4.0214,AMZN
221,2007-11-15,4.0437,AMZN
222,2007-11-16,4.04,AMZN
223,2007-11-19,4.144,AMZN
224,2007-11-20,4.0733,AMZN
225,2007-11-21,4.039,AMZN
226,2007-11-22,4.174,AMZN
227,2007-11-23,4.0741,AMZN
228,2007-11-26,4.1221,AMZN
229,2007-11-27,4.2976,AMZN
230,2007-11-28,4.735,AMZN
231,2007-11-29,4.4828,AMZN
232,2007-11-30,4.657,AMZN
233,2007-12-03,4.604,AMZN
234,2007-12-04,4.8455,AMZN
235,2007-12-05,4.8251,AMZN
236,2007-12-06,4.8106,AMZN
237,2007-12-07,4.7421,AMZN
238,2007-12-10,4.821,AMZN
239,2007-12-11,4.6721,AMZN
240,2007-12-12,4.74,AMZN
241,2007-12-13,4.78,AMZN
242,2007-12-14,4.459,AMZN
243,2007-12-17,4.2807,AMZN
244,2007-12-18,4.4681,AMZN
245,2007-12-19,4.577,AMZN
246,2007-12-20,4.666,AMZN
247,2007-12-21,4.598,AMZN
248,2007-12-24,4.6647,AMZN
249,2007-12-26,4.8018,AMZN
250,2007-12-27,4.7486,AMZN
251,2007-12-28,4.8057,AMZN
252,2007-12-31,4.725,AMZN
253,2008-01-02,4.813,AMZN
254,2008-01-03,4.8753,AMZN
255,2008-01-04,4.5083,AMZN
256,2008-01-07,4.562,AMZN
257,2008-01-08,4.553,AMZN
258,2008-01-09,4.342,AMZN
259,2008-01-10,4.259,AMZN
260,2008-01-11,4.19,AMZN
261,2008-01-14,4.3125,AMZN
262,2008-01-15,4.126,AMZN
263,2008-01-16,4.1775,AMZN
264,2008-01-17,4.182,AMZN
265,2008-01-18,4.037,AMZN
266,2008-01-22,3.924,AMZN
267,2008-01-23,3.721,AMZN
268,2008-01-24,4.0387,AMZN
